

Debut synchronisation des avions  -- 1440889042.62
Temps	distance	Delta_Speed	cmd_TRIM_ARSPD_CM	TRIM_ARSPD_CM
1440889046.76	98.9306278092	-10	1000	1000.0
1440889050.85	85.9645881825	-10	1000	1000.0
1440889054.86	74.2780609113	-10	1000	1000.0
1440889059.1	71.5370797292	-10	1000	1000.0
1440889063.19	52.8695779324	-10	1000	1000.0
1440889067.66	34.0525005782	-6.81050011563	1318.94998844	1318.0
1440889071.67	18.3594828079	-3.67189656158	1632.81034384	1632.0
1440889075.79	-2.84741601105	0.56948320221	2056.94832022	2056.0
1440889079.9	-7.72512365087	1.54502473017	2154.50247302	2154.0
1440889083.91	-9.40450366859	1.88090073372	2188.09007337	2188.0
1440889088.17	-26.0646134551	5.21292269103	2521.2922691	2521.0
1440889092.42	-26.6578617427	5.33157234853	2533.15723485	2533.0
1440889096.8	-31.5223011161	6.30446022322	2630.44602232	2630.0
1440889100.88	-43.8005396837	8.76010793674	2876.01079367	2876.0
1440889105.09	-47.354894326	9.4709788652	2947.09788652	2947.0
1440889109.8	-38.6059502827	7.72119005654	2772.11900565	2772.0
1440889113.94	-33.2167097665	6.64334195331	2664.33419533	2664.0
1440889117.99	-41.4375707898	8.28751415797	2828.7514158	2828.0
1440889122.08	-40.8824328414	8.17648656828	2817.64865683	2817.0
1440889126.2	-57.2661307114	10	3000	3000.0
1440889130.55	-56.0725978711	10	3000	3000.0
1440889134.65	-78.5528560187	10	3000	3000.0
1440889138.68	-93.8436475427	10	3000	3000.0
1440889142.75	-105.613092551	10	3000	3000.0
1440889146.9	-111.275059507	10	3000	3000.0
1440889151.01	-116.602017409	10	3000	3000.0
1440889155.01	-114.647200287	10	3000	3000.0
1440889159.03	-118.012334766	10	3000	3000.0
1440889163.18	-114.04228957	10	3000	3000.0
1440889167.25	-116.854459274	10	3000	3000.0
1440889171.25	-103.481645467	10	3000	3000.0
1440889175.54	-97.8889455952	10	3000	3000.0
1440889179.66	-102.196715529	10	3000	3000.0
1440889183.9	-83.5937087832	10	3000	3000.0
1440889188.24	-82.7168687121	10	3000	3000.0
1440889192.32	-73.2681319958	10	3000	3000.0
1440889196.34	-72.6812988127	10	3000	3000.0
1440889200.49	-71.6390701756	10	3000	3000.0
1440889204.57	-71.5423375133	10	3000	3000.0
1440889208.68	-103.391205501	10	3000	3000.0
1440889212.71	-111.422216697	10	3000	3000.0
1440889216.75	-106.738154464	10	3000	3000.0

Debut synchronisation des avions  -- 1440889254.24
Temps	distance	Delta_Speed	cmd_TRIM_ARSPD_CM	TRIM_ARSPD_CM
1440889258.29	-1.53265263269	0.306530526537	2030.65305265	2030.0
1440889262.41	12.2785411398	-2.45570822796	1754.4291772	1754.0
1440889266.57	16.1091865388	-3.22183730776	1677.81626922	1677.0
1440889270.58	22.4258490238	-4.48516980477	1551.48301952	1551.0
1440889274.7	29.2234420269	-5.84468840538	1415.53115946	1415.0
1440889278.74	24.672163982	-4.9344327964	1506.55672036	1506.0
1440889283.02	26.7525282042	-5.35050564084	1464.94943592	1464.0
1440889287.04	18.4563921708	-3.69127843417	1630.87215658	1630.0
1440889291.13	10.8457073106	-2.16914146213	1783.08585379	1783.0
1440889295.47	4.52319967029	-0.904639934058	1909.53600659	1909.0
1440889300.05	-12.1331668883	2.42663337767	2242.66333777	2242.0
1440889304.05	-18.3090836529	3.66181673059	2366.18167306	2366.0
1440889308.1	-19.6104389468	3.92208778935	2392.20877894	2392.0
1440889312.12	-24.1510015289	4.83020030578	2483.02003058	2483.0
1440889316.3	-30.9305777997	6.18611555995	2618.61155599	2618.0
1440889320.32	-33.7569199437	6.75138398873	2675.13839887	2675.0
1440889324.36	-23.3674122241	4.67348244482	2467.34824448	2467.0
1440889328.43	-17.0510807847	3.41021615693	2341.02161569	2341.0
1440889332.66	-16.6933762795	3.33867525589	2333.86752559	2333.0
1440889336.86	-20.7291902854	4.14583805708	2414.58380571	2414.0
1440889340.89	-21.6232428707	4.32464857415	2432.46485741	2432.0
1440889344.89	-31.7501948159	6.35003896317	2635.00389632	2635.0
1440889348.91	-35.463726015	7.092745203	2709.2745203	2709.0
1440889353.02	-27.3971534162	5.47943068323	2547.94306832	2547.0
1440889357.15	-27.7208412718	5.54416825435	2554.41682544	2554.0
1440889361.16	-19.7342087966	3.94684175932	2394.68417593	2394.0
1440889365.58	-28.250034654	5.65000693081	2565.00069308	2565.0
1440889369.78	-44.4362423928	8.88724847856	2888.72484786	2888.0
1440889373.84	-41.6826660677	8.33653321353	2833.65332135	2833.0
1440889377.97	-38.4700372974	7.69400745948	2769.40074595	2769.0
1440889382.13	-20.2620102487	4.05240204973	2405.24020497	2405.0
1440889386.29	-8.18870073529	1.63774014706	2163.77401471	2163.0
1440889390.3	-3.66963859095	0.733927718189	2073.39277182	2073.0
1440889394.53	-4.59291560937	0.918583121874	2091.85831219	2091.0
1440889398.55	-12.2111164187	2.44222328373	2244.22232837	2244.0
1440889402.63	-6.53622058888	1.30724411778	2130.72441178	2130.0
1440889406.76	-15.5648700652	3.11297401304	2311.2974013	2311.0
1440889410.95	-27.2840899093	5.45681798186	2545.68179819	2545.0
1440889414.99	-38.4327168551	7.68654337102	2768.6543371	2768.0
1440889419.14	-40.8369816963	8.16739633925	2816.73963393	2816.0
1440889423.19	-38.1805815842	7.63611631685	2763.61163168	2763.0
1440889427.59	-30.1179314871	6.02358629741	2602.35862974	2602.0
1440889431.74	-26.6948132075	5.33896264151	2533.89626415	2533.0
1440889435.76	-8.17481432078	1.63496286416	2163.49628642	2163.0
1440889440.01	-9.107644204	1.8215288408	2182.15288408	2182.0
1440889444.18	-10.9634390889	2.19268781778	2219.26878178	2219.0
1440889448.5	-13.138429146	2.62768582921	2262.76858292	2262.0
1440889452.76	-4.59584174513	0.919168349026	2091.9168349	2091.0
1440889456.82	-11.9224520094	2.38449040187	2238.44904019	2238.0
1440889460.93	-18.2992674464	3.65985348928	2365.98534893	2365.0
1440889465.01	-22.6220640784	4.52441281567	2452.44128157	2452.0
1440889469.11	-21.775447612	4.3550895224	2435.50895224	2435.0
1440889473.23	-29.7289589657	5.94579179314	2594.57917931	2594.0
1440889477.28	-26.3403148127	5.26806296253	2526.80629625	2526.0
1440889481.51	-19.0120619369	3.80241238738	2380.24123874	2380.0
1440889485.56	-18.1412977537	3.62825955073	2362.82595507	2362.0
1440889489.78	-24.7749155264	4.95498310527	2495.49831053	2495.0
1440889493.9	-30.7592141515	6.15184283031	2615.18428303	2615.0
1440889498.03	-22.8283497343	4.56566994686	2456.56699469	2456.0
1440889502.51	-22.7255442443	4.54510884885	2454.51088489	2454.0
1440889506.52	-30.2177232671	6.04354465343	2604.35446534	2604.0
1440889510.58	-34.1069388054	6.82138776108	2682.13877611	2682.0
1440889514.96	-38.7908259018	7.75816518036	2775.81651804	2775.0
1440889519.41	-56.7024180933	10	3000	3000.0

Debut synchronisation des avions  -- 1440889631.7
Temps	distance	Delta_Speed	cmd_TRIM_ARSPD_CM	TRIM_ARSPD_CM
1440889669.05	-233.963638044	10	3000	3000.0

Debut synchronisation des avions  -- 1440948326.16
Temps	distance	Delta_Speed	cmd_TRIM_ARSPD_CM	TRIM_ARSPD_CM
1440948330.22	103.401508073	-10	1000	1000.0
1440948334.24	69.2577319923	-10	1000	1000.0
1440948338.48	24.3676785601	-4.87353571202	1512.6464288	1512.0
1440948342.59	-9.82327861883	1.96465572377	2196.46557238	2196.0
1440948346.78	-38.4846305322	7.69692610644	2769.69261064	2769.0
1440948350.95	-72.3795452311	10	3000	3000.0
1440948355.15	-110.066366393	10	3000	3000.0
1440948359.3	-149.255994877	10	3000	3000.0
1440948363.4	-169.291778186	10	3000	3000.0
1440948367.82	-142.479220676	10	3000	3000.0
1440948371.96	-130.554845305	10	3000	3000.0
1440948376.23	-102.278885996	10	3000	3000.0
1440948380.34	-104.540897843	10	3000	3000.0
1440948384.58	-94.5782797988	10	3000	3000.0
1440948388.73	-81.4914711273	10	3000	3000.0
1440948392.92	-65.2394666477	10	3000	3000.0
1440948396.99	-58.5946128898	10	3000	3000.0
1440948401.16	-41.5338142464	8.30676284929	2830.67628493	2830.0
1440948405.89	-26.9441465641	5.38882931283	2538.88293128	2538.0
1440948409.93	-25.261818607	5.05236372141	2505.23637214	2505.0
1440948414.25	-15.8195131647	3.16390263294	2316.39026329	2316.0
1440948418.73	1.15780036833	-0.231560073665	1976.84399263	1976.0
1440948422.95	12.5573925042	-2.51147850084	1748.85214992	1748.0
1440948427.01	18.1880145737	-3.63760291474	1636.23970853	1636.0
1440948431.12	32.0324719548	-6.40649439095	1359.3505609	1359.0
1440948435.25	41.5312954733	-8.30625909467	1169.37409053	1169.0
1440948439.33	45.4996534272	-9.09993068545	1090.00693146	1090.0
1440948443.53	37.7317065475	-7.5463413095	1245.36586905	1245.0
1440948447.68	50.0674731649	-10	1000	1000.0
1440948451.75	54.2145596893	-10	1000	1000.0
1440948455.75	57.2441022689	-10	1000	1000.0
1440948459.76	62.7314314625	-10	1000	1000.0
1440948464.25	63.3024803911	-10	1000	1000.0
1440948468.39	61.0132788745	-10	1000	1000.0
1440948472.4	64.8943309696	-10	1000	1000.0
1440948476.42	56.8876650536	-10	1000	1000.0
1440948480.58	56.4356583449	-10	1000	1000.0
1440948484.64	51.1884730849	-10	1000	1000.0
1440948488.81	36.2891363907	-7.25782727814	1274.21727219	1274.0
1440948493.05	29.8544706142	-5.97089412284	1402.91058772	1402.0
1440948497.11	14.1226631591	-2.82453263182	1717.54673682	1717.0
1440948501.19	9.35762595646	-1.87152519129	1812.84748087	1812.0
1440948505.38	6.62003900523	-1.32400780105	1867.5992199	1867.0
1440948509.98	11.5817897208	-2.31635794416	1768.36420558	1768.0
1440948514.05	3.99935888023	-0.799871776047	1920.0128224	1920.0
1440948518.2	-3.28732562788	0.657465125575	2065.74651256	2065.0
1440948522.49	0.913578139862	-0.182715627972	1981.7284372	1981.0
1440948526.55	-4.86123195774	0.972246391548	2097.22463915	2097.0
1440948530.6	-8.78805772582	1.75761154516	2175.76115452	2175.0
1440948534.91	-10.1532842843	2.03065685685	2203.06568569	2203.0
1440948539.06	-10.5895445407	2.11790890815	2211.79089081	2211.0
1440948543.08	-13.8374689285	2.7674937857	2276.74937857	2276.0
1440948547.09	-3.55444989817	0.710889979634	2071.08899796	2071.0
1440948551.13	-1.92127985276	0.384255970553	2038.42559706	2038.0
1440948555.25	-4.3735356138	0.874707122761	2087.47071228	2087.0
1440948559.5	-11.6626577525	2.33253155051	2233.25315505	2233.0
1440948563.67	-6.04358965578	1.20871793116	2120.87179312	2120.0
1440948568.02	-7.37545535563	1.47509107113	2147.50910711	2147.0
1440948572.1	-9.05145224654	1.81029044931	2181.02904493	2181.0
1440948576.15	-2.97676497266	0.595352994532	2059.53529945	2059.0
1440948580.78	12.4596187092	-2.49192374184	1750.80762582	1750.0
1440948584.92	5.29063842951	-1.0581276859	1894.18723141	1894.0
1440948588.94	4.16421838621	-0.832843677242	1916.71563228	1916.0
1440948593.12	-5.96269659236	1.19253931847	2119.25393185	2119.0
1440948597.3	-5.10450835717	1.02090167143	2102.09016714	2102.0

Debut synchronisation des avions  -- 1441056621.66
Temps	distance	Delta_Speed	cmd_TRIM_ARSPD_CM	TRIM_ARSPD_CM
1441056626.02	-180.101506458	10	3000	3000.0
1441056630.03	-168.93325984	10	3000	3000.0
1441056634.11	-162.568812303	10	3000	3000.0
1441056638.28	-138.993360434	10	3000	3000.0
1441056642.55	-116.261617594	10	3000	3000.0
1441056646.6	-89.268748155	10	3000	3000.0
1441056650.69	-68.8243135392	10	3000	3000.0
1441056654.73	-57.4896424143	10	3000	3000.0
1441056658.77	-36.4006218097	7.28012436194	2728.01243619	2728.0
1441056662.86	-78.6802786535	10	3000	3000.0
1441056666.92	-72.8958900804	10	3000	3000.0
1441056671.05	-33.0375904845	6.60751809689	2660.75180969	2660.0
1441056675.15	3.05095795528	-0.610191591056	1938.98084089	1938.0
1441056679.28	32.5552601081	-6.51105202162	1348.89479784	1348.0
1441056683.37	56.8574820622	-10	1000	1000.0
1441056687.37	75.5094654045	-10	1000	1000.0
1441056691.38	82.1112145438	-10	1000	1000.0
1441056695.44	101.975640038	-10	1000	1000.0
1441056699.48	114.754762702	-10	1000	1000.0
1441056703.55	129.053981795	-10	1000	1000.0
1441056707.56	129.108611987	-10	1000	1000.0
1441056711.64	128.324910127	-10	1000	1000.0
1441056715.68	125.989376504	-10	1000	1000.0
1441056719.77	124.0868392	-10	1000	1000.0
1441056723.86	103.22948132	-10	1000	1000.0
1441056727.92	81.4181561874	-10	1000	1000.0
1441056732.03	61.4776624473	-10	1000	1000.0
1441056736.13	35.522996756	-7.1045993512	1289.54006488	1289.0
1441056740.14	13.0067164235	-2.6013432847	1739.86567153	1739.0
1441056744.2	-6.21143723601	1.2422874472	2124.22874472	2124.0
1441056748.27	-21.2122389077	4.24244778154	2424.24477815	2424.0
1441056752.27	-22.8865768772	4.57731537544	2457.73153754	2457.0
1441056756.46	-18.3209777092	3.66419554184	2366.41955418	2366.0
1441056760.48	-5.05628292765	1.01125658553	2101.12565855	2101.0
1441056764.53	-8.00441731099	1.6008834622	2160.08834622	2160.0
1441056768.57	-1.56214323427	0.312428646854	2031.24286469	2031.0
1441056772.73	45.2652764876	-9.05305529752	1094.69447025	1094.0
1441056776.79	17.9428324249	-3.58856648497	1641.1433515	1641.0
1441056780.82	44.1023932413	-8.82047864826	1117.95213517	1117.0
1441056784.97	93.0963455719	-10	1000	1000.0
1441056789.06	167.823725643	-10	1000	1000.0
1441056793.18	259.327917069	-10	1000	1000.0
1441056797.21	361.319995482	-10	1000	1000.0
1441056801.3	461.542255994	-10	1000	1000.0
1441056805.47	455.779636322	-10	1000	1000.0
1441056809.48	442.105843689	-10	1000	1000.0
1441056813.56	440.216415947	-10	1000	1000.0
1441056817.56	470.472613003	-10	1000	1000.0
1441056821.65	523.773071974	-10	1000	1000.0
1441056825.74	597.846653001	-10	1000	1000.0
1441056829.84	694.9581237	-10	1000	1000.0
1441056833.86	785.721986653	-10	1000	1000.0
1441056837.9	762.713709692	-10	1000	1000.0
1441056841.92	747.001736432	-10	1000	1000.0
1441056845.95	750.15950422	-10	1000	1000.0
1441056850.03	771.011467624	-10	1000	1000.0
1441056854.09	820.110003154	-10	1000	1000.0
1441056858.4	885.705136867	-10	1000	1000.0
1441056862.54	919.528048467	-10	1000	1000.0
1441056866.55	914.097450971	-10	1000	1000.0
1441056870.57	801.684522154	-10	1000	1000.0
1441056874.59	700.558978175	-10	1000	1000.0
1441056878.74	623.984755736	-10	1000	1000.0
1441056882.79	604.30494851	-10	1000	1000.0
1441056886.86	640.154920423	-10	1000	1000.0
1441056891.06	718.690496774	-10	1000	1000.0
1441056895.13	824.896200742	-10	1000	1000.0
1441056899.2	901.428689812	-10	1000	1000.0
1441056903.25	865.097246798	-10	1000	1000.0
1441056907.28	817.789048733	-10	1000	1000.0
1441056911.36	780.243856447	-10	1000	1000.0
1441056915.44	754.522340151	-10	1000	1000.0
1441056919.46	746.181422879	-10	1000	1000.0
1441056923.56	752.710638251	-10	1000	1000.0
1441056927.66	775.957779454	-10	1000	1000.0
1441056931.67	763.623825786	-10	1000	1000.0
1441056935.68	682.95979856	-10	1000	1000.0
1441056939.72	637.188960823	-10	1000	1000.0
1441056943.84	628.484004537	-10	1000	1000.0
1441056947.9	661.943497131	-10	1000	1000.0
1441056952.0	726.575519293	-10	1000	1000.0
1441056956.03	817.741392673	-10	1000	1000.0
1441056960.04	906.625156888	-10	1000	1000.0
1441056964.06	901.504954619	-10	1000	1000.0
1441056968.07	839.685361375	-10	1000	1000.0
1441056972.11	786.830129394	-10	1000	1000.0
1441056976.16	744.65215274	-10	1000	1000.0
1441056980.29	723.547500314	-10	1000	1000.0
1441056984.3	718.855930159	-10	1000	1000.0
1441056988.33	732.325988239	-10	1000	1000.0
1441056992.41	773.78158891	-10	1000	1000.0
1441056996.52	710.411390229	-10	1000	1000.0
1441057000.72	655.657771325	-10	1000	1000.0
1441057004.76	647.253950175	-10	1000	1000.0
1441057008.76	669.283055187	-10	1000	1000.0
1441057012.77	718.604805875	-10	1000	1000.0
1441057016.85	786.370705208	-10	1000	1000.0
1441057020.89	876.917477386	-10	1000	1000.0
1441057024.99	933.482144439	-10	1000	1000.0
1441057029.06	875.570182676	-10	1000	1000.0
1441057033.12	810.671480817	-10	1000	1000.0
1441057037.13	751.408318769	-10	1000	1000.0
1441057041.24	706.048074923	-10	1000	1000.0
1441057045.32	686.54981196	-10	1000	1000.0
1441057049.39	698.687906413	-10	1000	1000.0
1441057053.44	733.96766606	-10	1000	1000.0
1441057057.5	745.875359785	-10	1000	1000.0
1441057061.67	691.005337368	-10	1000	1000.0
1441057065.67	674.196681234	-10	1000	1000.0
1441057069.69	679.378483987	-10	1000	1000.0
1441057073.7	714.945539024	-10	1000	1000.0
1441057077.71	773.767271061	-10	1000	1000.0
1441057081.78	846.055124152	-10	1000	1000.0
1441057085.87	920.966996995	-10	1000	1000.0
1441057089.92	903.87070865	-10	1000	1000.0
1441057093.93	829.509625602	-10	1000	1000.0
1441057097.97	756.235314543	-10	1000	1000.0
1441057102.02	700.167726216	-10	1000	1000.0
1441057106.11	666.377847028	-10	1000	1000.0
1441057110.16	668.40415165	-10	1000	1000.0
1441057114.24	703.76117341	-10	1000	1000.0
1441057118.44	765.061270776	-10	1000	1000.0
1441057122.52	727.371056952	-10	1000	1000.0
1441057126.57	698.665598055	-10	1000	1000.0
1441057130.66	698.636321742	-10	1000	1000.0
1441057134.67	724.718831662	-10	1000	1000.0
1441057138.74	769.401155654	-10	1000	1000.0
1441057142.77	831.720878264	-10	1000	1000.0
1441057146.86	898.297046471	-10	1000	1000.0
1441057150.95	917.790805891	-10	1000	1000.0
1441057154.97	834.652687641	-10	1000	1000.0
1441057158.99	748.655329975	-10	1000	1000.0
1441057163.05	683.250131281	-10	1000	1000.0
1441057167.07	648.514566282	-10	1000	1000.0
1441057171.16	645.225875074	-10	1000	1000.0
1441057175.23	684.236339639	-10	1000	1000.0
1441057179.29	749.336646169	-10	1000	1000.0
1441057183.33	767.556449059	-10	1000	1000.0
1441057187.37	730.899771966	-10	1000	1000.0
1441057191.59	722.021796022	-10	1000	1000.0
1441057195.63	738.660527306	-10	1000	1000.0
1441057199.73	768.711131017	-10	1000	1000.0
1441057203.83	815.649939566	-10	1000	1000.0
1441057207.91	866.332911491	-10	1000	1000.0
1441057211.96	917.864342589	-10	1000	1000.0
1441057216.02	856.769308404	-10	1000	1000.0
